2022-04-11 11:11:51.1925 INFO: Движение по треку
2022-04-11 11:11:51.2926 INFO: Движение по треку
2022-04-11 11:11:51.3915 INFO: Движение по треку
2022-04-11 11:11:51.4916 INFO: Движение по треку
2022-04-11 11:11:51.5925 INFO: Движение по треку
2022-04-11 11:11:51.6925 INFO: Движение по треку
2022-04-11 11:11:51.7926 INFO: Движение по треку
2022-04-11 11:11:51.8926 INFO: Движение по треку
2022-04-11 11:11:51.9925 INFO: Движение по треку
2022-04-11 11:11:52.0926 INFO: Движение по треку
2022-04-11 11:11:52.1916 INFO: Движение по треку
2022-04-11 11:11:52.2925 INFO: Движение по треку
2022-04-11 11:11:52.3926 INFO: Движение по треку
2022-04-11 11:11:52.4916 INFO: Движение по треку
2022-04-11 11:11:52.5916 INFO: Движение по треку
2022-04-11 11:11:52.6916 INFO: Движение по треку
2022-04-11 11:11:52.7926 INFO: Движение по треку
2022-04-11 11:11:52.8926 INFO: Движение по треку
2022-04-11 11:11:52.9926 INFO: Движение по треку
2022-04-11 11:11:53.0917 INFO: Движение по треку
2022-04-11 11:11:53.1927 INFO: Движение по треку
2022-04-11 11:11:53.2926 INFO: Движение по треку
2022-04-11 11:11:53.3925 INFO: Движение по треку
2022-04-11 11:11:53.4916 INFO: Движение по треку
2022-04-11 11:11:53.5917 INFO: Движение по треку
2022-04-11 11:11:53.6917 INFO: Движение по треку
2022-04-11 11:11:53.7927 INFO: Движение по треку
2022-04-11 11:11:53.8925 INFO: Движение по треку
2022-04-11 11:11:53.9916 INFO: Движение по треку
2022-04-11 11:11:54.0926 INFO: Движение по треку
2022-04-11 11:11:54.1926 INFO: Движение по треку
2022-04-11 11:11:54.2915 INFO: Движение по треку
2022-04-11 11:11:54.3926 INFO: Движение по треку
2022-04-11 11:11:54.4926 INFO: Движение по треку
2022-04-11 11:11:54.5927 INFO: Движение по треку
2022-04-11 11:11:54.6928 INFO: Движение по треку
2022-04-11 11:11:54.7915 INFO: Движение по треку
2022-04-11 11:11:54.8926 INFO: Движение по треку
2022-04-11 11:11:54.9916 INFO: Движение по треку
2022-04-11 11:11:55.0925 INFO: Движение по треку
2022-04-11 11:11:55.1926 INFO: Движение по треку
2022-04-11 11:11:55.2917 INFO: Движение по треку
2022-04-11 11:11:55.3926 INFO: Движение по треку
2022-04-11 11:11:55.4925 INFO: Движение по треку
2022-04-11 11:11:55.5915 INFO: Движение по треку
2022-04-11 11:11:55.6915 INFO: Движение по треку
2022-04-11 11:11:55.7925 INFO: Движение по треку
2022-04-11 11:11:55.8915 INFO: Движение по треку
2022-04-11 11:11:55.9926 INFO: Движение по треку
2022-04-11 11:11:56.0915 INFO: Движение по треку
2022-04-11 11:11:56.1926 INFO: Движение по треку
2022-04-11 11:11:56.2925 INFO: Движение по треку
2022-04-11 11:11:56.3917 INFO: Движение по треку
2022-04-11 11:11:56.4915 INFO: Движение по треку
2022-04-11 11:11:56.5927 INFO: Движение по треку
2022-04-11 11:11:56.6915 INFO: Движение по треку
2022-04-11 11:11:56.7925 INFO: Движение по треку
2022-04-11 11:11:56.8926 INFO: Движение по треку
2022-04-11 11:11:56.9926 INFO: Движение по треку
2022-04-11 11:11:57.0926 INFO: Движение по треку
2022-04-11 11:11:57.1916 INFO: Движение по треку
2022-04-11 11:11:57.2926 INFO: Движение по треку
2022-04-11 11:11:57.3915 INFO: Движение по треку
2022-04-11 11:11:57.4916 INFO: Движение по треку
2022-04-11 11:11:57.5916 INFO: Движение по треку
2022-04-11 11:11:57.6925 INFO: Движение по треку
2022-04-11 11:11:57.7917 INFO: Движение по треку
2022-04-11 11:11:57.8926 INFO: Движение по треку
2022-04-11 11:11:57.9926 INFO: Движение по треку
2022-04-11 11:11:58.0917 INFO: Движение по треку
2022-04-11 11:11:58.1915 INFO: Движение по треку
2022-04-11 11:11:58.2925 INFO: Движение по треку
2022-04-11 11:11:58.3917 INFO: Движение по треку
2022-04-11 11:11:58.4926 INFO: Движение по треку
2022-04-11 11:11:58.5926 INFO: Движение по треку
2022-04-11 11:11:58.6916 INFO: Движение по треку
2022-04-11 11:11:58.7915 INFO: Движение по треку
2022-04-11 11:11:58.8925 INFO: Движение по треку
2022-04-11 11:11:58.9916 INFO: Движение по треку
2022-04-11 11:11:59.0926 INFO: Движение по треку
2022-04-11 11:11:59.1927 INFO: Движение по треку
2022-04-11 11:11:59.2927 INFO: Движение по треку
2022-04-11 11:11:59.3927 INFO: Движение по треку
2022-04-11 11:11:59.4916 INFO: Движение по треку
2022-04-11 11:11:59.5927 INFO: Движение по треку
2022-04-11 11:11:59.6927 INFO: Движение по треку
2022-04-11 11:11:59.7916 INFO: Движение по треку
2022-04-11 11:11:59.8917 INFO: Движение по треку
2022-04-11 11:11:59.9917 INFO: Движение по треку
2022-04-11 11:12:00.0925 INFO: Движение по треку
2022-04-11 11:12:00.1925 INFO: Движение по треку
2022-04-11 11:12:00.2925 INFO: Движение по треку
2022-04-11 11:12:00.3925 INFO: Движение по треку
2022-04-11 11:12:00.5125 INFO: Движение по треку
2022-04-11 11:12:00.5915 INFO: Движение по треку
2022-04-11 11:12:00.7126 INFO: Движение по треку
2022-04-11 11:12:00.7927 INFO: Движение по треку
2022-04-11 11:12:00.8996 INFO: Движение по треку
2022-04-11 11:12:01.0007 INFO: Движение по треку
2022-04-11 11:12:01.1546 INFO: Движение по треку
2022-04-11 11:12:01.2878 INFO: Движение по треку
2022-04-11 11:12:01.4001 INFO: Движение по треку
