2022-04-10 14:47:02.8918 INFO: Движение по треку
2022-04-10 14:47:02.9906 INFO: Движение по треку
2022-04-10 14:47:03.0908 INFO: Движение по треку
2022-04-10 14:47:03.1916 INFO: Движение по треку
2022-04-10 14:47:03.2908 INFO: Движение по треку
2022-04-10 14:47:03.3908 INFO: Движение по треку
2022-04-10 14:47:03.4908 INFO: Движение по треку
2022-04-10 14:47:03.5908 INFO: Движение по треку
2022-04-10 14:47:03.6908 INFO: Движение по треку
2022-04-10 14:47:03.7908 INFO: Движение по треку
2022-04-10 14:47:03.8908 INFO: Движение по треку
2022-04-10 14:47:03.9908 INFO: Движение по треку
2022-04-10 14:47:04.0918 INFO: Движение по треку
2022-04-10 14:47:04.1918 INFO: Движение по треку
2022-04-10 14:47:04.2918 INFO: Движение по треку
2022-04-10 14:47:04.3908 INFO: Движение по треку
2022-04-10 14:47:04.4906 INFO: Движение по треку
2022-04-10 14:47:04.5918 INFO: Движение по треку
2022-04-10 14:47:04.6908 INFO: Движение по треку
2022-04-10 14:47:04.7918 INFO: Движение по треку
2022-04-10 14:47:04.8918 INFO: Движение по треку
2022-04-10 14:47:04.9918 INFO: Движение по треку
2022-04-10 14:47:05.0908 INFO: Движение по треку
2022-04-10 14:47:05.1908 INFO: Движение по треку
2022-04-10 14:47:05.2908 INFO: Движение по треку
2022-04-10 14:47:05.3917 INFO: Движение по треку
2022-04-10 14:47:05.4908 INFO: Движение по треку
2022-04-10 14:47:05.5908 INFO: Движение по треку
2022-04-10 14:47:05.6908 INFO: Движение по треку
2022-04-10 14:47:05.7908 INFO: Движение по треку
2022-04-10 14:47:05.8906 INFO: Движение по треку
2022-04-10 14:47:05.9908 INFO: Движение по треку
2022-04-10 14:47:06.0908 INFO: Движение по треку
2022-04-10 14:47:06.1908 INFO: Движение по треку
2022-04-10 14:47:06.2908 INFO: Движение по треку
2022-04-10 14:47:06.3908 INFO: Движение по треку
2022-04-10 14:47:06.4908 INFO: Движение по треку
2022-04-10 14:47:06.5908 INFO: Движение по треку
2022-04-10 14:47:06.6907 INFO: Движение по треку
2022-04-10 14:47:06.7918 INFO: Движение по треку
2022-04-10 14:47:06.8906 INFO: Движение по треку
2022-04-10 14:47:06.9908 INFO: Движение по треку
2022-04-10 14:47:07.0918 INFO: Движение по треку
2022-04-10 14:47:07.1918 INFO: Движение по треку
2022-04-10 14:47:07.2908 INFO: Движение по треку
2022-04-10 14:47:07.3908 INFO: Движение по треку
2022-04-10 14:47:07.4907 INFO: Движение по треку
2022-04-10 14:47:07.5918 INFO: Движение по треку
2022-04-10 14:47:07.6908 INFO: Движение по треку
2022-04-10 14:47:07.7907 INFO: Движение по треку
2022-04-10 14:47:07.8907 INFO: Движение по треку
2022-04-10 14:47:07.9918 INFO: Движение по треку
2022-04-10 14:47:08.0918 INFO: Движение по треку
2022-04-10 14:47:08.1918 INFO: Движение по треку
2022-04-10 14:47:08.2908 INFO: Движение по треку
2022-04-10 14:47:08.3918 INFO: Движение по треку
2022-04-10 14:47:08.4918 INFO: Движение по треку
2022-04-10 14:47:08.5918 INFO: Движение по треку
2022-04-10 14:47:08.6918 INFO: Движение по треку
2022-04-10 14:47:08.7918 INFO: Движение по треку
2022-04-10 14:47:08.8918 INFO: Движение по треку
2022-04-10 14:47:08.9918 INFO: Движение по треку
2022-04-10 14:47:09.0918 INFO: Движение по треку
2022-04-10 14:47:09.1918 INFO: Движение по треку
2022-04-10 14:47:09.2907 INFO: Движение по треку
2022-04-10 14:47:09.3908 INFO: Движение по треку
2022-04-10 14:47:09.4918 INFO: Движение по треку
2022-04-10 14:47:09.5918 INFO: Движение по треку
2022-04-10 14:47:09.6918 INFO: Движение по треку
2022-04-10 14:47:09.7917 INFO: Движение по треку
2022-04-10 14:47:09.8918 INFO: Движение по треку
2022-04-10 14:47:09.9917 INFO: Движение по треку
2022-04-10 14:47:10.0918 INFO: Движение по треку
2022-04-10 14:47:10.1916 INFO: Движение по треку
2022-04-10 14:47:10.2907 INFO: Движение по треку
2022-04-10 14:47:10.3908 INFO: Движение по треку
2022-04-10 14:47:10.4908 INFO: Движение по треку
2022-04-10 14:47:10.5948 INFO: Остановка движения по треку
2022-04-10 14:47:15.5908 INFO: Остановка движения по треку
2022-04-10 14:47:15.6898 INFO: Остановка движения по треку
2022-04-10 14:47:15.7908 INFO: Остановка движения по треку
2022-04-10 14:47:15.8908 INFO: Остановка движения по треку
2022-04-10 14:47:15.9908 INFO: Остановка движения по треку
2022-04-10 14:47:16.0908 INFO: Остановка движения по треку
2022-04-10 14:47:16.1908 INFO: Остановка движения по треку
2022-04-10 14:47:16.2898 INFO: Остановка движения по треку
2022-04-10 14:47:16.3908 INFO: Остановка движения по треку
2022-04-10 14:47:16.4887 INFO: Остановка движения по треку
2022-04-10 14:47:16.5908 INFO: Остановка движения по треку
2022-04-10 14:47:16.6908 INFO: Остановка движения по треку
2022-04-10 14:47:16.7907 INFO: Остановка движения по треку
2022-04-10 14:47:16.8907 INFO: Остановка движения по треку
